ક
ખ
ગ
ઘ
ચ
છ
જ
ઝ
ટ
ઠ
ડ
ઢ
ણ
ત
થ
દ
ધ
ન
પ
ફ
બ
ભ
મ
ય
ર
લ
વ
સ
શ
હ
ળ
ક્ષ
જ્ઞ
અ
આ
ઇ
ઈ
ઉ
ઊ
એ
ઐ
ઓ
ઔ
અં
અઃ
